ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID850321692,46/121 Rathdowne St,3,u,735000.0,3/12/2016,1.0,2.0,3455.0,129.0,-37.8042,144.9691
ID658162778,6 Gray La,3,h,2035000.0,29/04/2017,1.0,1.0,185.0,129.0,-37.8435,144.9538
ID172575296,12 Borrie St,3,h,703000.0,18/06/2016,2.0,1.0,597.0,59.0,-37.7066,145.0203
ID253601222,47 Churchill Wy,3,h,710000.0,19/08/2017,1.0,2.0,837.0,59.0,-37.796820000000004,145.30467
ID201623150,20a Park Rd,3,h,1100000.0,14/05/2016,1.0,1.0,111.0,18.0,-37.8525,145.0071
ID505471226,67 Celia St,4,h,1700000.0,15/10/2016,3.0,1.0,650.0,73.0,-37.8581,145.078
ID242237920,4/12 Woodlawn St,2,u,717000.0,24/06/2017,1.0,0.0,316.0,49.0,-37.82295,144.99146000000005
ID742541568,15 Gould St,3,h,2400000.0,10/09/2016,2.0,2.0,835.0,109.0,-37.9225,144.991
ID193655835,142 Balwyn Rd,2,h,1850000.0,6/08/2016,1.0,1.0,1015.0,89.0,-37.8074,145.0826
ID640244599,3 Brian St,3,h,660000.0,8/04/2017,1.0,2.0,585.0,59.0,-37.695,144.9676
ID155839549,2/575 Warrigal Rd,3,t,850000.0,20/05/2017,2.0,2.0,321.0,69.0,-37.9316,145.0806
ID446446913,29 Murray St,2,h,1500000.0,17/09/2016,1.0,2.0,222.0,89.0,-37.8501,144.9995
ID887166385,10a Elizabeth St,3,t,1250000.0,8/10/2016,2.0,2.0,315.0,59.0,-37.7607,145.0853
ID525780586,22 Skipton Rd,4,h,1337000.0,15/10/2016,1.0,2.0,696.0,89.0,-37.8991,145.0804
ID325820023,95 Bank St,2,h,1151000.0,23/09/2017,1.0,0.0,128.0,129.0,-37.832809999999995,144.96633
ID562770787,2/19 Hemming St,3,u,880000.0,11/02/2017,2.0,2.0,304.0,29.0,-37.9308,145.0316
ID456391796,19 Hughes St,3,h,570500.0,10/12/2016,1.0,1.0,471.0,59.0,-37.7924,144.8523
ID445785918,7/36 Union St,3,t,972000.0,29/04/2017,2.0,1.0,119.0,19.0,-37.9084,145.0118
ID238872992,26 Irvine St,3,h,535000.0,15/07/2017,1.0,0.0,675.0,49.0,-37.764959999999995,144.77289
ID651788624,3/50 Airlie Rd,3,t,960000.0,27/05/2017,2.0,2.0,397.0,16.0,-37.72331,145.11909
ID871977267,33 Holmes St,2,h,950000.0,16/09/2017,2.0,1.0,224.0,119.0,-37.75995,144.97413
ID767287898,126/69 Dorcas St,3,u,862000.0,10/09/2016,2.0,2.0,0.0,18.0,-37.8311,144.9679
ID613665902,43/100 Commercial Rd,3,u,1230000.0,3/12/2016,2.0,2.0,0.0,21.0,-37.8453,144.9849
ID588287211,36 Sturdee St,3,h,780000.0,17/06/2017,1.0,2.0,893.0,79.0,-37.69964,145.00945
ID773380326,2/27 Pakington St,2,u,610000.0,25/02/2017,1.0,1.0,745.0,51.0,-37.8024,145.0346
ID551447133,1/17 Auburn Gr,2,u,573000.0,13/08/2016,1.0,1.0,0.0,49.0,-37.8254,145.047
ID308887879,115 Cheddar Rd,2,h,836000.0,15/10/2016,1.0,1.0,931.0,49.0,-37.7033,145.0169
ID507744098,16 Etherington Dr,3,h,430000.0,19/08/2017,2.0,2.0,180.0,39.0,-37.59827,145.07939
ID141071692,15/67 Nicholson St,2,u,435000.0,13/05/2017,1.0,1.0,0.0,8.0,-37.7755,144.9786
ID857625133,18 Grandvalley Dr,2,t,520000.0,1/07/2017,2.0,2.0,62.0,5.0,-37.738929999999996,144.87661
ID620798747,1 Diana Dr,4,h,1280000.0,17/06/2017,2.0,1.0,797.0,59.0,-37.80755,145.1638
ID607255215,4 Nuthall Wy,4,h,1012000.0,15/07/2017,3.0,3.0,631.0,10.0,-37.6246,145.01686
ID390915268,65 Hyde St,3,h,740000.0,25/02/2017,1.0,1.0,211.0,109.0,-37.8059,144.901
