ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_stat,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average
ID850321692,46/121 Rathdowne St,CARLTON,735000.0,u,3/12/2016,3,1.0,2.0,3455.0,129.0,-37.8042,144.9691,19843,833.35,6.100558659217877,0,128.66666666666666,339.0,41.333333333333336
ID658162778,6 Gray La,ALBERT PARK,2035000.0,h,29/04/2017,3,1.0,1.0,185.0,129.0,-37.8435,144.9538,20043,2803.62,0.0,0,1214.6666666666667,5603.666666666667,375.3333333333333
ID172575296,12 Borrie St,RESERVOIR,703000.0,h,18/06/2016,3,2.0,1.0,597.0,59.0,-37.7066,145.0203,20009,960.59,35.2,0,1118.3333333333333,2578.6666666666665,260.3333333333333
ID253601222,47 Churchill Wy,KILSYTH,710000.0,h,19/08/2017,3,1.0,2.0,837.0,59.0,-37.79682,145.30467,19877,1506.08,49.76923076923077,0,164.66666666666666,943.0,50.666666666666664
ID201623150,20a Park Rd,PRAHRAN,1100000.0,h,14/05/2016,3,1.0,1.0,111.0,18.0,-37.8525,145.0071,19946,628.54,18.214285714285715,0,923.3333333333334,7218.333333333333,438.0
ID505471226,67 Celia St,GLEN IRIS,1700000.0,h,15/10/2016,4,3.0,1.0,650.0,73.0,-37.8581,145.078,19848,521.26,30.666666666666668,0,2649.0,12095.333333333334,939.0
ID242237920,4/12 Woodlawn St,RICHMOND,717000.0,u,24/06/2017,2,1.0,0.0,316.0,49.0,-37.82295,144.99146000000005,19908,169.26,9.538461538461538,0,885.0,1901.0,227.66666666666666
ID742541568,15 Gould St,BRIGHTON,2400000.0,h,10/09/2016,3,2.0,2.0,835.0,109.0,-37.9225,144.991,19950,472.23,28.5,0,3787.3333333333335,14549.666666666666,1179.6666666666667
ID193655835,142 Balwyn Rd,BALWYN,1850000.0,h,6/08/2016,2,1.0,1.0,1015.0,89.0,-37.8074,145.0826,19893,1905.72,23.76923076923077,0,1242.3333333333333,6182.333333333333,410.0
ID640244599,3 Brian St,FAWKNER,660000.0,h,8/04/2017,3,1.0,2.0,585.0,59.0,-37.695,144.9676,19961,995.07,39.0,0,1253.6666666666667,7401.333333333333,484.6666666666667
